id,repo,priority,theme,title,why,scope,acceptance,status
CONEXUS-GOV-DRILLDOWN-001,conexus-dotnet + ontogony-frontend,P1,Operator observability,Add row-level model-call/usage drill-down contracts for the operator console,"Aggregate governance usage exists, but the console needs row-level model-call history, evidence, route decision, usage, and cost drill-downs.","Clarify and test admin model-call list/detail, model-call evidence, route-decision detail, and usage/cost query contracts. Align with frontend adapters.","Frontend Conexus observability page can display recent calls, route, fallback, token/cost, artifact/evidence availability, and trace/run links from live APIs.",planned
CONEXUS-IDEMP-001,conexus-dotnet,P1,Durability,Make implicit idempotency multi-node durable,"Explicit non-streaming replay exists, but implicit internal idempotency should not remain in-memory for durable multi-node operation.",Add Postgres-backed ledger implementation or formally constrain implicit idempotency to single-node/local mode with readiness signal.,"In Postgres mode, duplicate implicit requests are coordinated durably across process restart or multiple service instances.",closed-with-caveat
CONEXUS-STREAM-COST-001,conexus-dotnet,P1,Telemetry integrity,Close streaming usage/cost observability gaps,Streaming token usage may be unavailable depending on provider chunks; this should be visible rather than silently incomplete.,Log/metric when streaming usage is missing; support final usage chunks where providers emit them; surface cost_unknown reason in model-call telemetry.,Streaming model calls have either cost values or explicit cost_unknown reason visible in admin/API telemetry.,closed
CONEXUS-ADMIN-SAFETY-001,conexus-dotnet,P1,Admin safety,Add explicit tests and docs for sensitive admin/diagnostic endpoint exposure,"Admin middleware exists, but routes such as DbViewer and diagnostics should have clear non-production safety proof.","Tests proving admin auth/rate limiting covers DbViewer, diagnostics, retention, provider config, and evidence endpoints. Docs explain intended environment exposure.",Unauthenticated and project-key-only callers cannot reach admin/diagnostic endpoints; production config validation documents expected controls.,closed
CONEXUS-RETENTION-001,conexus-dotnet,P2,Data lifecycle,Strengthen retention policy evidence and maintenance run visibility,"Retention cleanup is hosted in the API, but operators need evidence of what policies apply and what was deleted or retained.","Expose retention policy readback, last run status, counts, and dry-run mode. Add docs and tests.",Admin can query retention config and last cleanup summary; local test proves expired records are handled as configured.,planned
KANON-POSTGRES-LOCAL-001,kanon-dotnet,P0,Durable local path,Make PostgreSQL the proven local acceptance path,Kanon defaults to in-memory persistence and development-trusted headers; durable local behavior must be proven before broader cross-repo claims.,"Docker/Postgres smoke covering ontology lifecycle, source bindings, semantic plan compile, human gate, decision/provenance, replay bundle, and domain pack flows.",A local script runs migrations and verifies the major workflows persist across process restart.,planned
KANON-EVIDENCE-001,kanon-dotnet,P0,Feature proof,Add workflow evidence packs for major Kanon surfaces,Kanon implements substantial behavior; each operator workflow should have reproducible request/response evidence.,"docs/evidence for ontology lifecycle, source binding test/review, canonical fact resolution, action policy evaluation, human gate resolve, decision provenance/replay, and domain-pack promotion.","Each evidence pack has commands, expected responses, storage/persistence notes, and failure cases.",planned
KANON-AUTH-LOCAL-001,kanon-dotnet,P1,Security posture,Harden and document local service-token auth path while preserving dev headers,Trusted headers are acceptable for local developer convenience but should not be the only proven path.,"Add local service-token smoke, docs comparing DevelopmentTrustedHeaders vs ServiceToken, and config validation examples.",Local stack can run Kanon in ServiceToken mode and Allagma/Kanon client tests still pass.,closed
KANON-API-MODULAR-001,kanon-dotnet,P1,Maintainability,Split large API Program.cs into feature endpoint modules,The API surface is broad enough that monolithic endpoint registration is now a review and maintenance risk.,"Extract endpoint registration modules for ontology, source bindings, semantic plans, canonical facts, actions/human gates, provenance/replay, domain packs, and Conexus assistance.",No route behavior changes; tests/OpenAPI route inventory remain stable.,closed-shallow
KANON-CONEXUS-ASSIST-001,kanon-dotnet + allagma-dotnet E2E,P1,Assistance seam,"Prove Conexus assistance disabled/mock/local paths, not real-provider rollout",Assistance routes are valuable but should remain advisory and deterministic until the local durable stack is stable.,"Tests for disabled behavior, role/field gating, redaction, draft_only outcome, idempotency, and decision-record emission with mock/local Conexus.",System E2E verifies one assistance route produces a redacted draft_only decision record and provenance entry.,planned
KANON-DOMAINPACK-GOV-001,kanon-dotnet,P2,Governance,Clarify domain-pack lifecycle promotion states and blocking rules,Domain packs are central artifacts; lifecycle governance should be explicit enough for operators and CI.,"Document and enforce dev/reviewed/accepted/active/deprecated semantics, promotion blockers, signature/hash requirements, and rollback/deprecation behavior.","Domain-pack lifecycle docs and tests cover promote, active lookup, deprecate, blocked promotion, hash mismatch, and signature failure.",planned
FE-CLEANUP-001,ontogony-frontend,P0,Build correctness,Resolve duplicate root config artifacts,The repo contains both TypeScript source configs and generated JavaScript/declaration configs; this creates build ambiguity and Docker context risk.,Decide canonical config files; remove or regenerate intentionally; update .gitignore and CI to prevent accidental committed build artifacts.,Only intended Vite/Vitest/Tailwind configs are present; CI proves Vite and Vitest resolve the canonical files.,closed
FE-AUTH-001,ontogony-frontend,P0,Operator access,Add route-level operator auth guard,The route tree mounts all operator pages under OntogonyShell with no explicit guard.,"Add ProtectedRoute or shell-level auth boundary, local credential/token settings, unauthorized state, and tests.","Without configured local token/session, operator routes render an auth-required state; authenticated local settings allow access.",closed
FE-ERRBOUND-001,ontogony-frontend,P0,UX resilience,Add route-level error boundaries and API failure states,"Live API pages should fail per-page, not crash or silently fall back.","Shared ErrorBoundary, ProductLiveQueryState usage where missing, retry actions, redaction-safe error rendering.",Each domain has a page-level error state for failed backend calls; tests cover at least one failure per domain.,closed
FE-FIXTURE-MATRIX-001,ontogony-frontend,P1,Live vs demo clarity,Create page-by-page live/fallback/fixture matrix and remove misleading demo paths,"System and Allagma fixtures are marked fallback/demo, while Kanon semantic fixtures still supply mock operator content. Operators need to know what is live.","Audit src/*/api, src/*/adapters, pages, and fixtures. Document primary live API, fallback behavior, and demo-only components per route.",Every route in route-workflow-catalog has dataSource=live|live_with_fallback|fixture_only|not_implemented and the UI labels non-live content clearly.,closed
FE-STUBS-001,ontogony-frontend,P1,Operator trust,Replace thin/stub pages with honest operational states or live wiring,Routes such as Kanon plans/facts/provenance and Allagma replay are operator-important and should not appear silently incomplete.,"For each thin page, either wire live data or render a standard NotYetImplemented/ComingSoon panel with route purpose and backend dependency.",No released route renders a near-empty page without clear status and next action.,closed
FE-API-ADAPTER-001,ontogony-frontend,P1,Contract safety,"Add API/adapter contract tests for Conexus, Kanon, and Allagma clients",The frontend depends on domain adapters hiding backend DTOs; drift should be caught locally.,"Fixture response samples from live smoke/evidence; adapter tests for status mapping, error mapping, pagination, trace IDs, cost/evidence links, and human-gate states.",Generated/handwritten client DTO changes fail tests if UI contracts break.,closed
FE-DOCKER-001,ontogony-frontend or ontogony-platform,P1,Local environment,Complete Docker-local frontend composition and ontogony-ui build strategy,The frontend is meant to operate against the three-node local stack; workspace-linked UI package must be reliable inside containers.,"docker-compose local service, VITE_CONEXUS_API_URL/VITE_KANON_API_URL/VITE_ALLAGMA_API_URL mapping, Nginx config, UI package build/copy strategy.",One local command serves the frontend and reaches Conexus/Kanon/Allagma health plus at least one live page per domain.,closed
FE-TEST-001,ontogony-frontend,P2,Regression coverage,Add smoke tests for the highest-value operator pages,Critical pages need tests beyond route existence.,"ConexusChatPage, StartRunWorkbenchPage, HumanGatesPage, RunDetailPage, OperatorSettingsPage, SystemOverviewPage.",Vitest covers render/loading/error/success state for these pages; optional Playwright smoke covers main navigation.,closed
